Date,Volume,Close,Average
01/10/2014,10700,3.756724,3.795
02/10/2014,15300,3.766663,3.78
03/10/2014,78900,3.746786,3.78
06/10/2014,72700,3.687155,3.74
07/10/2014,9100,3.677217,3.72
08/10/2014,40700,3.687155,3.665
09/10/2014,16600,3.617586,3.665
10/10/2014,24400,3.607648,3.62
14/10/2014,28200,3.687155,3.645
15/10/2014,204300,3.627525,3.62
16/10/2014,82600,3.607648,3.59
17/10/2014,33200,3.667278,3.645
20/10/2014,15100,3.707032,3.71
21/10/2014,28400,3.697094,3.745
22/10/2014,33900,3.707032,3.7
23/10/2014,116700,3.816355,3.79
24/10/2014,76800,3.885924,3.855
27/10/2014,104100,3.935616,3.92
28/10/2014,25900,3.925677,3.955
29/10/2014,32400,3.885924,3.955
30/10/2014,41600,3.856108,3.885
31/10/2014,34600,3.746786,3.81
03/11/2014,14300,3.786539,3.81
04/11/2014,39400,3.756724,3.82
05/11/2014,70500,3.84617,3.84
06/11/2014,17200,3.885924,3.895
07/11/2014,30500,3.935616,3.93
10/11/2014,120400,4.035,4.045
12/11/2014,59000,4.084692,4.085
13/11/2014,44000,4.044939,4.085
14/11/2014,32200,4.054877,4.085
17/11/2014,64600,4.074754,4.075
18/11/2014,21300,4.074754,4.105
19/11/2014,61400,4.134384,4.11
20/11/2014,102600,4.263584,4.24
21/11/2014,106900,4.233768,4.26
24/11/2014,64000,4.233768,4.27
25/11/2014,86900,4.362968,4.325
26/11/2014,41600,4.343091,4.38
27/11/2014,22700,4.333153,4.37
28/11/2014,28000,4.323214,4.37
01/12/2014,137600,4.372907,4.385
02/12/2014,42100,4.303338,4.365
03/12/2014,17700,4.343091,4.345
04/12/2014,75600,4.134384,4.26
05/12/2014,36300,4.154261,4.19
08/12/2014,25900,4.054877,4.135
09/12/2014,27400,4.035,4.04
10/12/2014,49600,3.98,4
11/12/2014,40800,4.07,4.025
12/12/2014,11100,4.05,4.05
15/12/2014,15100,3.99,3.995
16/12/2014,20300,3.91,3.95
17/12/2014,28500,4.02,3.995
18/12/2014,101100,4.03,4.035
19/12/2014,34000,3.98,4.025
22/12/2014,29800,3.93,3.935
23/12/2014,11800,3.97,3.96
24/12/2014,21800,4,3.98
29/12/2014,38200,4.04,4.02
30/12/2014,36600,4.1,4.08
31/12/2014,34500,4.13,4.135
02/01/2015,89100,4.19,4.155
05/01/2015,96000,4.16,4.2
06/01/2015,30300,4.1,4.15
07/01/2015,18800,4.02,4.08
08/01/2015,39200,4.15,4.09
09/01/2015,64200,3.98,4.035
12/01/2015,30700,3.96,3.94
13/01/2015,8800,4.06,4.025
14/01/2015,76400,4.15,4.075
15/01/2015,919400,3.2,3.36
16/01/2015,482500,3.05,3.03
19/01/2015,358600,2.87,2.985
20/01/2015,410000,3.03,2.945
21/01/2015,127800,2.95,3.035
22/01/2015,99100,3.05,3
23/01/2015,68000,3.07,3.09
26/01/2015,212500,2.95,3.025
27/01/2015,37600,3,2.98
28/01/2015,33000,3.05,3.04
29/01/2015,72400,3.04,3.04
30/01/2015,48800,3.01,3.04
02/02/2015,60800,3.09,3.07
03/02/2015,55300,3.14,3.13
04/02/2015,64300,3.07,3.135
05/02/2015,31200,3.09,3.095
06/02/2015,148200,3.07,3.055
09/02/2015,52800,3.01,3.075
10/02/2015,72700,3.02,3.04
11/02/2015,137800,3.12,3.07
12/02/2015,785700,2.8,2.77
13/02/2015,285200,2.69,2.765
17/02/2015,155000,2.7,2.69
18/02/2015,74900,2.65,2.68
19/02/2015,86800,2.6,2.65
20/02/2015,293300,2.59,2.58
23/02/2015,126100,2.49,2.555
24/02/2015,96900,2.65,2.585
25/02/2015,147300,2.76,2.745
26/02/2015,63900,2.72,2.76
27/02/2015,112700,2.76,2.72
02/03/2015,163800,2.63,2.73
03/03/2015,130100,2.58,2.625
04/03/2015,230900,2.49,2.515
05/03/2015,51800,2.54,2.54
06/03/2015,126000,2.54,2.535
09/03/2015,77600,2.63,2.565
10/03/2015,61400,2.54,2.54
11/03/2015,54700,2.64,2.595
12/03/2015,27500,2.62,2.64
13/03/2015,33000,2.66,2.605
16/03/2015,75000,2.62,2.635
17/03/2015,147000,2.68,2.68
18/03/2015,29400,2.62,2.655
19/03/2015,56700,2.62,2.64
20/03/2015,73400,2.67,2.645
23/03/2015,17200,2.66,2.66
24/03/2015,17100,2.61,2.625
25/03/2015,73000,2.69,2.705
26/03/2015,13300,2.67,2.685
27/03/2015,26300,2.65,2.665
30/03/2015,37000,2.56,2.61
31/03/2015,31100,2.6,2.585
01/04/2015,16200,2.65,2.635
02/04/2015,119500,2.6,2.595
06/04/2015,35900,2.66,2.64
07/04/2015,73800,2.73,2.68
08/04/2015,64500,2.7,2.725
09/04/2015,38400,2.7,2.69
10/04/2015,79800,2.75,2.805
13/04/2015,60400,2.72,2.75
14/04/2015,21800,2.69,2.69
15/04/2015,82200,2.74,2.72
16/04/2015,239600,2.77,2.795
17/04/2015,30300,2.71,2.72
20/04/2015,98800,2.69,2.76
21/04/2015,2500,2.68,2.695
22/04/2015,67000,2.58,2.645
23/04/2015,25300,2.63,2.6
24/04/2015,23100,2.57,2.6
27/04/2015,122300,2.48,2.545
28/04/2015,73900,2.49,2.49
29/04/2015,62000,2.54,2.525
30/04/2015,54600,2.52,2.55
01/05/2015,50200,2.48,2.505
04/05/2015,54500,2.49,2.515
05/05/2015,37300,2.49,2.505
06/05/2015,30700,2.45,2.475
07/05/2015,123000,2.59,2.54
08/05/2015,63500,2.65,2.615
11/05/2015,38500,2.65,2.66
12/05/2015,56100,2.6,2.605
13/05/2015,96500,2.6,2.6
14/05/2015,94500,2.7,2.625
15/05/2015,110500,2.69,2.69
19/05/2015,26100,2.65,2.68
20/05/2015,28800,2.6,2.62
21/05/2015,12900,2.57,2.575
22/05/2015,92900,2.52,2.53
25/05/2015,13600,2.53,2.54
26/05/2015,155000,2.52,2.515
27/05/2015,20400,2.55,2.545
28/05/2015,36200,2.6,2.59
29/05/2015,76300,2.6,2.65
01/06/2015,69300,2.58,2.615
02/06/2015,26300,2.64,2.62
03/06/2015,11200,2.64,2.645
04/06/2015,347100,2.57,2.595
05/06/2015,27000,2.59,2.605
08/06/2015,7800,2.55,2.595
09/06/2015,7900,2.54,2.555
10/06/2015,4600,2.55,2.55
11/06/2015,5200,2.58,2.59
12/06/2015,23600,2.6,2.585
15/06/2015,157700,2.66,2.665
16/06/2015,46400,2.53,2.6
17/06/2015,39600,2.49,2.525
18/06/2015,27100,2.55,2.525
19/06/2015,41300,2.46,2.5
22/06/2015,36300,2.55,2.52
23/06/2015,25300,2.5,2.525
24/06/2015,10800,2.5,2.5
25/06/2015,17600,2.51,2.515
26/06/2015,22100,2.48,2.485
29/06/2015,92900,2.41,2.41
30/06/2015,114000,2.32,2.375
02/07/2015,49800,2.36,2.37
03/07/2015,69900,2.39,2.375
06/07/2015,32300,2.36,2.355
07/07/2015,23500,2.35,2.345
08/07/2015,75600,2.25,2.3
09/07/2015,165800,2.08,2.19
10/07/2015,250700,2.05,1.985
13/07/2015,143200,2.3,2.175
14/07/2015,126400,2.08,2.21
15/07/2015,85800,1.99,2.05
16/07/2015,97500,2.09,2.04
17/07/2015,84800,1.99,2.065
20/07/2015,119900,1.97,1.98
21/07/2015,97800,1.89,1.955
22/07/2015,249400,1.8,1.73
23/07/2015,56300,1.81,1.805
24/07/2015,133600,1.92,1.865
27/07/2015,88500,1.87,1.885
28/07/2015,68000,1.88,1.89
29/07/2015,124800,1.96,1.985
30/07/2015,91200,1.87,1.875
31/07/2015,141400,1.75,1.8
04/08/2015,103300,1.74,1.715
05/08/2015,27900,1.7,1.74
06/08/2015,139500,1.63,1.665
07/08/2015,81500,1.69,1.65
10/08/2015,25200,1.72,1.705
11/08/2015,35600,1.65,1.695
12/08/2015,24200,1.63,1.65
13/08/2015,117600,1.57,1.625
14/08/2015,182600,1.5,1.53
17/08/2015,126900,1.41,1.445
18/08/2015,170300,1.32,1.36
19/08/2015,232400,1.28,1.29
20/08/2015,146300,1.35,1.32
21/08/2015,498500,1.34,1.44
24/08/2015,392300,1.21,1.29
25/08/2015,304000,1.21,1.255
26/08/2015,160400,1.28,1.3
